"","SimType","Measure","TxnEff","N","R","A","sd11","sd12","sd21","sd22","Contamination","Ratio","OLS","EIV","REIV"
"128","Contam","Zamar",0.25,30,50,3,3,24,9,72,0.05,0.00454265551759195,0.00125236170111654,0.00137643158988345,0.000656579213433663
"129","Contam","Zamar",0.25,30,50,3,3,27,9,81,0.05,0.0040709393190522,0.00178323307791268,0.00136668554470743,0.000574540315036951
"130","Contam","Zamar",0.25,30,50,3,3,30,9,90,0.05,0.00449808176517242,0.00210787042978618,0.00170433830179244,0.000808564114882581
"131","Contam","Error",0.25,30,50,3,3,3,9,9,0.05,0.682947638101874,0.113211919174803,0.157320899373618,0.104202764078847
"132","Contam","Error",0.25,30,50,3,3,6,9,18,0.05,0.775329443057457,0.110750963271639,0.150790289652989,0.120483085177028
"133","Contam","Error",0.25,30,50,3,3,9,9,27,0.05,0.837036855297686,0.115584434117901,0.163513653071688,0.130578933920959
"134","Contam","Error",0.25,30,50,3,3,12,9,36,0.05,0.728948392407508,0.135729230872538,0.163651245813768,0.131018401226442
"135","Contam","Error",0.25,30,50,3,3,15,9,45,0.05,1.11303070956871,0.158298541389349,0.173814801360373,0.150142017855576
"136","Contam","Error",0.25,30,50,3,3,18,9,54,0.05,0.710914821452086,0.179356549109754,0.212210208522595,0.18302248250032
"137","Contam","Error",0.25,30,50,3,3,21,9,63,0.05,0.845169326447848,0.209987727497128,0.218175792621638,0.198586314978209
"138","Contam","Error",0.25,30,50,3,3,24,9,72,0.05,0.898852008222093,0.211771305700035,0.299838343312693,0.256942997739573
"139","Contam","Error",0.25,30,50,3,3,27,9,81,0.05,0.984041360963423,0.23128998478202,0.252754310215178,0.227421407695306
"140","Contam","Error",0.25,30,50,3,3,30,9,90,0.05,1.04181389908024,0.261542205293869,0.345192105733531,0.274595491896663
"141","Contam","Precision",0.25,30,50,3,3,3,9,9,0.05,0.184493735945259,0.0524898986414262,0.0601075032639797,0.0543655905469873
"142","Contam","Precision",0.25,30,50,3,3,6,9,18,0.05,0.18527062870857,0.0501954289086039,0.0577499468894025,0.0528634922880105
"143","Contam","Precision",0.25,30,50,3,3,9,9,27,0.05,0.170908486215289,0.0538159910305959,0.0739069379422319,0.0649501039855799
"144","Contam","Precision",0.25,30,50,3,3,12,9,36,0.05,0.200303339567276,0.0599205350637814,0.0701450523099928,0.0644925455550465
"145","Contam","Precision",0.25,30,50,3,3,15,9,45,0.05,0.251137903858768,0.073858255931522,0.0850455329074156,0.0691948292670867
"146","Contam","Precision",0.25,30,50,3,3,18,9,54,0.05,0.175016918467873,0.072607128124004,0.0950216020327604,0.0803406598540621
"147","Contam","Precision",0.25,30,50,3,3,21,9,63,0.05,0.212241082691617,0.0882846355110658,0.0986236433611807,0.084491635966133
"148","Contam","Precision",0.25,30,50,3,3,24,9,72,0.05,0.242972066324021,0.0954013361996421,0.119607211254311,0.0970720228111657
"149","Contam","Precision",0.25,30,50,3,3,27,9,81,0.05,0.224282268221138,0.0914682421776601,0.112764374378404,0.0808474911957863
"150","Contam","Precision",0.25,30,50,3,3,30,9,90,0.05,0.232120897181636,0.0861902694470175,0.122029276746837,0.0857503407685255
